t,vx,vy,vz
14.618,0,0,0
14.63473,0,0,0
14.65154,0,0,0
14.6683,0,0,0
14.68488,0,0,0
14.7012,0,0,0
14.7183,0,0,0
14.73466,0,0,0
14.75143,0,0,0
14.76844,0,0,0
14.78479,0,0,0
14.80143,0,0,0
14.8183,0,0,0
14.83469,0,0,0
14.85136,0,0,0
14.86846,0,0,0
14.88466,0,0,0
14.90144,0,0,0
14.91887,0,0,0
14.93475,0,0,0
14.95132,0,0,0
14.96837,0,0,0
14.98457,0,0,0
15.00134,0,0,0
15.0182,0,0,0
15.03625,0,0,0
15.05097,0,0,0
15.06882,0,0,0
15.0845,0,0,0
15.10159,0,0,0
