t,x,y,z, HasCollision
7.217022,194.266,-40.0415,15.14006,False
7.232327,194.6432,-39.65829,14.38434,False
7.249035,194.9615,-39.33421,13.77352,False
7.265369,195.178,-39.11607,13.37393,False
7.281971,195.2946,-38.99991,13.16716,False
7.299191,195.2979,-38.99666,13.16155,False
7.315807,195.2979,-38.99666,13.16155,False
7.332218,195.2979,-38.99666,13.16155,False
7.348995,195.2979,-38.99666,13.16155,False
7.367275,195.2979,-38.99666,13.16155,False
7.383678,195.2979,-38.99666,13.16155,False
7.400143,195.2979,-38.99666,13.16155,False
7.416813,195.2979,-38.99666,13.16155,False
7.43327,195.2979,-38.99666,13.16155,False
7.449871,195.2979,-38.99666,13.16155,False
7.467037,195.2979,-38.99666,13.16155,False
7.483356,195.2979,-38.99666,13.16155,False
7.500217,195.2979,-38.99666,13.16155,False
7.516453,195.2979,-38.99666,13.16155,False
7.533504,195.2979,-38.99666,13.16155,False
7.550205,195.2979,-38.99666,13.16155,False
7.566807,195.2979,-38.99666,13.16155,False
7.583652,195.2979,-38.99666,13.16155,False
7.599964,195.2979,-38.99666,13.16155,False
7.617489,195.2979,-38.99666,13.16155,False
7.63361,195.2979,-38.99666,13.16155,False
7.650677,195.2979,-38.99666,13.16155,False
7.666798,195.2979,-38.99666,13.16155,False
7.682674,195.2979,-38.99666,13.16155,False
7.698978,195.2979,-38.99666,13.16155,False
7.715679,195.2979,-38.99666,13.16155,False
7.732677,195.2979,-38.99666,13.16155,False
7.749264,195.2979,-38.99666,13.16155,False
7.765728,195.2979,-38.99666,13.16155,False
7.783413,195.2979,-38.99666,13.16155,False
7.800404,195.2979,-38.99666,13.16155,False
7.817493,195.2979,-38.99666,13.16155,False
7.832211,195.2979,-38.99666,13.16155,False
7.84869,195.2979,-38.99666,13.16155,False
7.865284,195.2979,-38.99666,13.16155,False
7.882008,195.2979,-38.99666,13.16155,False
7.898945,195.2979,-38.99666,13.16155,False
7.915432,195.2979,-38.99666,13.16155,False
7.932064,195.2979,-38.99666,13.16155,False
7.948757,195.2979,-38.99666,13.16155,False
7.965878,195.2979,-38.99666,13.16155,False
7.982479,195.2575,-39.07843,12.93073,False
7.998768,195.1831,-39.23168,12.47965,False
8.015621,195.0667,-39.47145,11.7739,False
8.032131,194.9232,-39.77318,10.84791,False
8.049915,194.7388,-40.15454,9.571004,False
8.066837,194.5367,-40.53228,8.094754,False
8.083569,194.3151,-40.90046,6.375476,False
8.100246,194.0773,-41.24264,4.40153,False
8.116467,193.8182,-41.61549,2.250674,False
8.133564,193.5346,-41.9544,-0.2913077,False
8.150555,193.3013,-42.16884,-2.573683,False
8.167027,193.1186,-42.2779,-4.552035,False
8.183628,192.9749,-42.30717,-6.303761,False
8.199757,192.8704,-42.27575,-7.772565,False
8.216869,192.7931,-42.19897,-9.067616,False
8.23341,192.7331,-42.1393,-10.07409,False
8.249958,192.6969,-42.06556,-10.83357,False
8.266888,192.6787,-41.99559,-11.35224,False
8.283443,192.673,-41.95043,-11.61359,False
8.299725,192.6729,-41.94582,-11.63547,False
8.315807,192.6729,-41.94582,-11.63547,False
8.332333,192.6729,-41.94582,-11.63547,False
8.350185,192.6729,-41.94582,-11.63547,False
8.366848,192.6729,-41.94582,-11.63547,False
8.383389,192.6729,-41.94582,-11.63547,False
8.399914,192.6729,-41.94582,-11.63547,False
8.415958,192.6729,-41.94582,-11.63547,False
8.431911,192.6729,-41.94582,-11.63547,False
8.449215,192.6451,-42.06458,-11.39501,False
8.465916,192.5834,-42.30513,-10.94813,False
8.482471,192.4792,-42.68145,-10.30395,False
8.499302,192.3196,-43.22003,-9.451522,False
8.515995,192.1221,-43.88647,-8.396718,False
